Scheme Name,State,Managing Authority,Landholding,Type,Description,Link
PM-KISAN,All,Central,Small and marginal,Financial Assistance,â‚¹6000 annual benefit for small & marginal farmers,https://pmkisan.gov.in/
Pradhan Mantri Fasal Bima Yojana,All,Central,All,Insurance,Crop insurance scheme to protect against yield losses,https://pmfby.gov.in/
Rythu Bandhu,Telangana,State,All,Financial Assistance,Telangana state subsidy of â‚¹5000/acre per season,https://treasury.telangana.gov.in/
Krishak Bandhu,West Bengal,State,All,Financial Assistance,â‚¹5000 per acre per year assistance to farmers,https://krishakbandhu.net/
KALIA Scheme,Odisha,State,Small and marginal,Financial Assistance,â‚¹10000 yearly financial support to small and marginal farmers,https://kalia.odisha.gov.in/
PM-KMY,All,Central,Small and marginal,Pension ,Pension scheme for farmers above 60 years,https://maandhan.in/
NABARD Subsidy for Cold Storage,All,,All,Infrastructure,25-33% subsidy for setting up cold storage infrastructure,https://www.nabard.org/
Atma Nirbhar Krishi Yojana,Assam,State,All,Infrastructure,Support for agricultural infrastructure development,https://diragri.assam.gov.in/
Sub-Mission on Agricultural Mechanization (SMAM),All,Central,All,Subsidy,Subsidy on purchase of agricultural machinery,https://agrimachinery.nic.in/
Paramparagat Krishi Vikas Yojana (PKVY),All,Central,All,Organic Farming,Incentives for organic farming clusters,https://pgsindia-ncof.gov.in/pkvy/index.aspx
Soil Health Card Scheme,All,Central,All,Soil Management,Provides soil health cards to farmers with crop-wise nutrient recommendations,https://soilhealth.dac.gov.in/
e-NAM,All,Central,All,Market Linkage,Online trading platform for agricultural commodities,https://enam.gov.in/
Rajiv Gandhi Kisan Nyay Yojana,Chattisgarh,All,All,Financial Assistance,Direct income support to farmers in Chhattisgarh,https://agriportal.cg.nic.in/
Bhavantar Bhugtan Yojana,Madhya Pradesh,State,All,Market Price Compensation,Covers price difference between MSP and selling price,https://mpkrishi.mp.gov.in/
Mukhyamantri Krishi Ashirwad Yojana,Jharkhand,State,Small and marginal,Financial Assistance,?5000/acre per year to small/marginal farmers,https://mmkay.jharkhand.gov.in/
NaMo Shetkari MahaSanman Nidhi Yojana,Maharashtra,State,All,Financial Assistance,?6000/year matching Central PM-KISAN aid,https://mahadbt.maharashtra.gov.in/
YSR Rythu Bharosa,Andhra Pradesh,State,All,Financial Assistance,?13500/year to eligible farmers including PM-KISAN,https://ysrrythubharosa.ap.gov.in/
Kudimaramathu Scheme,Tamil Nadu,State,Farmers near irrigation tanks,Irrigation,Restoration of irrigation tanks by farmers themselves,https://andec.tn.gov.in/
Uzhavan App Services,Tamil Nadu,State,All,Multi-service Mobile App,"Info on crop advisory, weather, market prices, and schemes",https://tnagrisnet.tn.gov.in/
Raitha Siri Scheme,Karnatka,State,All,Financial Assistance,"Incentive of ?10,000 per hectare for millet farmers to promote sustainable agriculture.",https://raitamitra.karnataka.gov.in/
Krishi Bhagya Scheme,Karnatka,State,Small and Marginal,Irrigation,"Support for dryland farmers through farm ponds, sprinklers, and irrigation tools.",https://raitamitra.karnataka.gov.in/
Kisan Suryoday Yojana,Gujarat,State,All,Infrastructure ,Provides daytime electricity for irrigation pumps to reduce dependency on night-time farming.,https://gujaratindia.gov.in/
Mukhyamantri Pak Sangrah Yojana,Gujarat,State,Small and marginal,Storage,Subsidy for building crop storage facilities like cold storage and godowns on farms.,https://ikhedut.gujarat.gov.in/
Bihar Rajya Fasal Sahayata Yojana,Bihar,State,All,Insurance,"Compensation of ?7,500–?10,000 for crop loss due to weather or disaster (>20% loss).",http://dbtagriculture.bihar.gov.in/
Smart Village Campaign,Punjab,State,All,Infrastructure,"Rural development program for improving village infrastructure, including farm roads and irrigation.",https://punjab.gov.in/
Crop Diversification Programme,Punjab,State,All,Financial Assistance,Encourages farmers to move away from paddy to less water-intensive crops via incentives.,https://agripb.gov.in/
Mera Pani Meri Virasat,Haryana,State,All,Irrigation,"?7,000/acre incentive to promote crop diversification away from paddy for water conservation.",https://agriharyana.gov.in/
Bhavantar Bharpai Yojana,Haryana,State,All,Price Support,Provides compensation when actual market price of vegetables falls below expected price.,https://agriharyana.gov.in/
Agriculture Infrastructure Fund (AIF),All,Central,All,Financial Assistance,"Provides interest subvention on loans for setting up agri-infrastructure such as cold storage, warehouses, grading & sorting units.",https://agrinfra.dac.gov.in/
